,"Jan 26"
"Ordinary Income/Expense",""
"Income",""
"Sales",840783.19
"Total Income",840783.19
"Cost of Goods Sold",""
"Cost of Goods Sold",""
"Freight and Shipping Costs",3850.00
"Freight In & Out",""
"Truck-Repair",560.00
"Total Freight In & Out",560.00
"Insurance",""
"Insurance-Liability & Property",2692.19
"Total Insurance",2692.19
"Payroll",""
"Direct Labor- Samuel Hale",191611.88
"Direct Labor- Workforce",13152.83
"Payroll - Other",1125.56
"Total Payroll",205890.27
"Purchases",""
"Chemical & Dyestuffs",131330.77
"Finishing Supplies",""
"Paper Tube",7667.35
"Total Finishing Supplies",7667.35
"Lab Supplies (Testing)",1365.00
"Plant Supplies & Parts",7529.41
"Total Purchases",147892.53
"Utilities",""
"Electricity",55228.47
"Gas",92141.62
"Wastewater Surcharge (Current)",19618.92
"Water",26831.41
"Total Utilities",193820.42
"Total Cost of Goods Sold",554705.41
"Total COGS",554705.41
"Gross Profit",286077.78
"Expense",""
"Automobile Expense",1727.58
"Bank Service Charges",320.77
"Computer and Internet Expenses",1065.45
"Contract Labor",10000.00
"Employee Benefits",3799.48
"Equipment Rental",160.94
"Insurance-General Admin.",""
"Insurance-Health",3849.44
"Insurance-Truck",1923.62
"Total Insurance-General Admin.",5773.06
"Interest Expenses",8654.82
"Licenses and Permits",""
"Permits",600.00
"Total Licenses and Permits",600.00
"Office Expense",1402.08
"Office Supplies & Printing",651.52
"Outside Service",2700.00
"Payroll Expenses",57800.00
"Payroll Taxes",6268.50
"Post Office Charge",348.70
"Professional Fees",""
"Legal Fees",2059.20
"Professional Fees - Other",547.00
"Total Professional Fees",2606.20
"Rent Expense",87671.79
"Rent Management Fee",16764.33
"Repairs and Maintenance",""
"Computer",800.00
"Equipment",38325.25
"Total Repairs and Maintenance",39125.25
"sales commision",3000.00
"Sales Promotion",1069.32
"Telephone Expense",843.25
"Waste Disposal",2169.94
"Total Expense",254522.98
"Net Ordinary Income",31554.80
"Net Income",31554.80
